#id	nucl1643	oldj1239	nort2935	nort2935.2	sout2954	cent2126	shur1243	ikem1234	yaey1239	hato1238	yona1241	sats1241	kuma1281	haka1241	hach1239
fire_1	?	?	matʃʰɨ	ʔmatʰsɨ	matʃʰi	?	?	ɯmatʃʰɨ	?	?	?	?	?	?	?
fire_2	çi	?	?	?	?	ɸiː	ɸiː	?	pʰɨː	pʰiː	tsˀii	çi	çiː	çi	çi
nose_1	çana	pʰana	çana	çanaː	pʰana	pʰanaː	çana	pʰana	çana	pʰana	çanabɯɾɯ	çana	çana	çana	çana
go_1	ikʰ	jɯkʰ	ʔixdzɯɾi	ʔikʰdzɯɴ	ikʰdzɯɴ	çitʃʰɯɴ	ʔitʃʰɯɴ	iɸɯ	ikʰɯɴ	?	?	iʔ	ikʰɯ	ikʰɯ	ikʰɯ
go_2	?	?	?	?	?	?	?	?	pʰaɾɯɴ	pʰaɾɯɴ	çiɾɯn	?	?	?	?
water_1	midzɯ	mi	mɨdzɨ	mɨdzɨɨ	midzi	midziː	midzi	midzɨ	midzɨ	midzi	min	miʔ	midzu	middzɯ	middzɯ
mouth_1	kʰɯtʰi	kʰɯtʰi	kʰɯtʃʰi	kʰɯtʃʰɨɨ	kʰɯtʃʰi	kʰɯtʃʰiː	kʰɯtʃʰi	ɸɯtʃʰɨ	ɸɯtʃʰɨ	ɸutʃʰi	tˀii	kʰɯʔ	kʰɯtʰɕi	kʰutʰɕi	kʰutʰɕi
tongue_1	ʃitʰa	ʃitʰa	?	?	ʃitʃʰdza	?	?	sɨtʰa	sɨtʰa	ʃitʰa	tˀaa	ɕitʰa	ɕitʰa	ɕitʰa	ɕitʰa
tongue_2	?	?	sɨba	sɨbaː	?	sɯbaː	ʃiba	?	?	?	?	?	?	?	?
blood_1	tʰi	tʰi	tʃʰi	tʃʰɨɨ	tʃʰiː	tʃʰiː	tʃʰiː	açatʃʰɨ	tʃʰɨː	ʃii	tsˀii	tʰɕiː	tʰɕiː	tʰɕi	tʰɕi
bone_1	çone	pʰone	ɸunɨ	ɸuɯnɨ	pʰɯɲi	pʰɯɲi	ɸuɲi	pʰɯɲi	pʰɯɲi	pʰɯɲi	çuɲi	çone	çone	çone	çone
2SG_1	?	?	?	?	?	?	?	?	?	?	?	?	nɯɕi	?	?
2SG_2	anatʰa	?	?	?	?	?	?	?	?	?	nda	?	?	antʰa	?
2SG_3	?	?	ʔdza	ʔdzaː	ɯɾa	ʔdzaː	ʔdzaː	dza	waː	waː	?	wa	dzado	?	ɯna
2SG_4	?	na	?	?	?	?	?	?	?	?	?	?	?	?	?
root_1	ne	ne	nɨ	nɨgɯi	ɲii	ɲii	ɲii	ɲii	ɲii	ɲii	nii	ne	ne	ne	nekˀo
come_1	kʰo	kʰo	kʰi	kʰdzɯɴ	kʰdzɯɴ	sɯɴ	tʃʰuːɴ	ɸɯɨ	kʰɨ	kʰɯ	kʰun	kʰɯʔ	kʰɯɾɯ	kʰɯɾɯ	?
breast_1	mɯne	mɯne	mɯnɨ	nɨɨ	ɲipʰaɾa	ɲii	ɴɲi	mɲiʋtʃʰɨ	ɴɲi	ɴɲi	tsˀimɯtʰi	mɯne	mɯne	mɯne	mɯne
rain_1	ame	ame	ʔamɨ	ʔamɨɨ	ami	ʔamiː	ʔami	ami	aːmi	ami	ami	ame	ame	ame	ame
1SG_1	?	?	?	?	?	?	?	?	?	?	?	?	oɾɯ	?	?
1SG_2	?	?	?	?	?	?	?	a	?	?	anɯ	atʰai	?	atʰakʰi	?
1SG_3	waɾe	wa	waɴ	waɴ	waː	wanuː	waɴ	?	banɯ	baː	?	?	?	?	wa
name_1	namaeboɾ	na	na	naː	naː	naː	naː	naː	naː	naː	naa	namaeboɾ	na	namaeboɾ	nameːboɾ
louse_1	ʃiɾami	ʃiɾami	ʃiɾaɴ	sɨnaɴ	sdzaɴ	saːmi	ʃiɾaɴ	sam	saɴ	saɴ	tsˀan	ɕitʰame	ɕiɾame	ɕiɾami	ɕamme
wing_1	çane	pʰane	çane	çanɨɨ	pʰaɲi	pʰaɲii	çaɲi	pʰaɲi	pʰaɲi	pʰaɲi	çaɲi	çane	çane	çane	çane
meat_1	ɲikʰɯboɾ	?	?	?	?	?	?	?	?	?	?	ɲiʔboɾ	ɲikʰɯboɾ	ɲikʰɯboɾ	ɲikʰɯboɾ
meat_2	?	ʃiʃi	ʃiʃi	sɨsɨɨ	ʃiʃi	ʃii	ʃiʃi	sɨːsɨ	sɨsɨ	ʃiiʃi	tsˀitʃʰi	?	?	?	?
meat_3	?	?	?	?	?	?	?	?	?	?	?	?	?	mi	?
arm_hand_1	?	?	?	?	?	?	?	?	?	?	?	?	dzeda	?	?
arm_hand_2	?	?	?	?	?	?	?	?	?	?	?	ɯde	?	ɯde	ɯde
arm_hand_3	tʰe	tʰe	θɨ	tʰɨɨ	tʰiː	tʰiː	tʰiː	tʰiː	tʰiː	tʰiː	tʰii	tʰe	tʰe	tʰe	tʰe
fly_1	çae	pʰapʰe	ɸe	ʔoːbai	oːbai	pʰeː	ɸeː	pʰaɨ	pʰai	pʰai	çai	çe	çdzaː	çai	çeːme
night_1	joɾɯ	jo	dzɯɾɯ	dzɯɾuː	dzɯɾɯ	dzɯɾuː	dzuː	dzɯɨ	dzuːɾɨ	dzuːɾɯ	duɾɯ	dzoi	dzosaɾi	dzosaɾi	dzoɾɯ
ear_1	mimi	mimi	miɴ	miɴ	miɴ	mimiː	mimi	mim	miɴ	miɴ	mintʰaɸu	min	mimi	mimi	mimi
neck_1	?	?	?	?	?	?	?	?	?	nɯbi	nubi	?	?	?	?
neck_2	kʰɯbi	kʰɯbi	kʰɯbi	kʰɯi	kʰɯbi	kʷɯbiː	kʰɯbi	ɸɯdzɨ	ɸɯbɨ	ɸubi	?	kʰɯʔ	kʰɯbi	kʰɯbi	kʰɯbi
