#id	nana1257	oroc1248	udih1248	cent2414	kuro1242	biki1239	orok1265	ulch1241	jurc1239	manc1252	xibe1242	even1260	solo1263	even1259	hiss1234	sout3321	ilim1234	ilim1234.2	negi1245	oroq1238
fire_1	to	toː	toː	tawa	toː	tao	tawa	tawa	ta	tuwa	tua	tog	tɔg	togo	towo	toγo	togo	togo	togo	tɔgɔ
nose_1	?	?	?	?	?	?	hurigan	?	?	?	?	?	?	?	?	?	?	?	?	?
nose_2	?	ŋikso	ŋœ	?	?	?	?	waksa	?	?	?	?	niːnʃa	?	?	?	?	?	?	?
nose_3	?	?	?	?	?	?	?	?	suŋgi	?	?	?	?	?	?	?	?	?	?	?
nose_4	?	?	?	?	?	?	?	?	?	?	?	oŋat	?	oŋokto	oŋokto	oŋoktɒ	oŋokto	oŋokto	oŋokto	ɔŋɔktɔ
nose_5	ofurə	?	?	oporo	oforo	oforo	?	?	?	oforo	ovur	?	?	?	?	?	?	?	?	?
go_1	ənə	ŋənə	ŋənə	ənə	ənə	ənə	ŋənə	ŋənə	gəniə	gənə	gənə	ŋen	nənə	nənə	gənə	ŋənə	ŋənə	ŋene	ŋənə	ŋənə
water_1	?	?	uli	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
water_2	mukə	muː	?	muə	mukə	mukə	mɵː	muː	mukə	mukə	muku	mo	mu	muː	muː	muː	muː	mu	muː	muː
mouth_1	amŋə	amma	aŋma	aŋma	amŋa	amga	aŋma	aŋma	aŋga	aŋga	aŋ	amŋa	amma	amŋa	amŋa	amŋa	amŋa	amŋa	amŋa	amŋa
tongue_1	iləŋgu	iŋi	iŋi	siŋmu	iləŋgu	sirmə	sinu	siɲu	iləŋgi	iləŋgu	iliŋ	ienŋe	iŋi	inni	inni	?	?	?	iɲɲi	iŋŋi
tongue_2	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	tsoliː	soːliː	tsoli	?	?
blood_1	səksə	səːksə	sakæ	səːksə	səksə	səːksə	səːksə	səːksə	ʃəŋgi	səŋgi	siŋ	?	ʃəːʃʃi	səːksə	səːksə	hoxsə	hoːkʃə	sekse	soːksə	ʃəːkʃə
blood_2	?	?	?	?	?	?	?	?	?	?	?	huŋel	?	?	?	?	?	?	?	?
bone_1	giamsə	giamsa	gæma	germaksa	giramna	girmasa	girapsa	geramsa	giraŋgi	giraŋgi	giraŋ	?	girand	giramda	geramda	giramda	giramda	giramna	?	geramna
bone_2	?	?	?	?	?	?	?	?	?	?	?	ikeri	?	?	?	?	?	?	iːhəj	?
2SG_1	tsi	si	si	sisin	si	si	siː	si	ʃi	si	si	hiː	ʃi	siː	si	hiː	hiː	si	siː	ʃiː
root_1	da	?	daː	daːtsan	?	daːca	daːta	daːtsa	da	da	?	?	?	?	?	dagasan	?	?	daː	?
root_2	?	ŋiŋtə	ŋiŋtə	?	?	?	?	?	?	?	?	ŋeːŋte	niːnt	niːntə	ŋiŋtə	?	ŋiːntə	ŋiŋte	niŋtə	?
root_3	?	?	?	təhə	?	təhə	?	təhə	?	?	?	?	?	?	?	?	?	?	təhən	təkən
root_4	?	?	?	?	?	?	?	?	?	?	fulxo	?	?	?	?	?	?	?	?	?
root_5	?	?	?	?	muiktə	muihtə	?	?	?	?	?	?	?	?	?	?	?	?	?	?
come_1	əmə	əmə	əmə	?	əmə	di	?	?	?	?	?	em	əmə	əmə	əmə	əmə	əmə	eme	əmə	əmə
come_2	?	?	?	dʒi	?	?	?	di	diu	dʒi	dʒi	?	?	?	?	?	?	?	?	?
come_3	?	?	?	?	?	?	sinda	?	?	?	?	?	?	?	?	?	?	?	?	?
come_4	?	?	?	?	?	?	?	?	iʃi	?	?	?	?	?	?	?	?	?	?	?
breast_1	tiŋən	tiŋə	tiŋə	tuŋən	tiŋən	tuŋgə	tuŋə	tuŋgə	tuŋgə	tuŋgən	tuŋun	tiŋen	?	tiŋən	?	?	?	?	?	?
breast_2	?	?	?	?	?	?	hosoptu	?	?	?	?	?	?	?	?	?	?	?	tiŋən	?
breast_3	?	?	?	?	?	?	?	?	?	?	?	?	?	?	hikən	hikon	hikɒːn	hiken	?	?
breast_4	?	?	?	?	?	?	?	?	?	?	?	?	həŋgər	?	?	?	?	?	?	kəːŋtirə
breast_5	?	?	oko	kun	?	?	quːn	?	gugu	xuxun	xuxuŋ	okan	?	?	?	?	?	?	?	?
rain_1	tigdə	tigdə	tigdə	tugdə	tigdə	tugdə	tugdə	tugdə	?	?	?	?	?	?	tjgdə	tigdə	tigdɒ	?	tigdə	tegdə
rain_2	?	udu	?	?	?	?	?	?	?	?	?	udan	uduŋ	udun	?	?	?	udun	?	?
rain_3	?	?	?	?	?	?	?	?	aguad	agaːd	ahaːd	?	?	?	?	?	?	?	?	?
1SG_1	bi	bi	bi	mimin	mi	bi	biː	bi	bi	bi	bi	biː	bi	biː	bi	bi	biː	bi	bi	biː
name_1	gərbi	gəbbi	gəgbi	gərbu	gərbi	gərbi	gəlbu	gəlbu	gəbu	gəbu	gəv	gerbe	gəbbi	gərbiː	gərbiː	gərbiː	gərbiː	gerbi	gəlbi	gərbi
louse_1	?	?	?	?	?	ɲilkə	?	?	?	?	?	?	?	?	?	?	?	?	?	?
louse_2	kuməkə	kumə	kumugə	?	kuŋkə	?	?	?	?	?	?	kumke	huŋkə	kumkəː	kumkə	kumkoː	kumkə	kumke	kumkə	kumkə
louse_3	?	?	?	tsiːktə	?	tsiktə	tsiktə	tiqtə	tihə	tsihə	tsixə	?	?	?	?	?	?	?	?	?
wing_1	?	?	?	?	?	?	?	?	?	?	?	?	dawe	?	?	?	?	?	?	?
wing_2	dəhsə	dəktisə	daktæ	?	dəktənə	dəgdəcə	?	?	?	?	?	deːtle	?	dəktiləː	dəktjləː	dəktəndə	dəktəndə	?	?	?
wing_3	?	?	?	hasar	hasar	hasara	hasa	χasal	?	asha	ash	asiki	?	?	asakiː	?	?	asaki	asahiː	aʃakeː
meat_1	?	?	?	?	?	?	?	?	jali	jali	jəli	?	?	?	?	?	?	?	?	?
meat_2	ulsə	uktə	ulə	uliksə	ulə	uləksə	ulisə	ulsə	?	?	?	ulre	uldə	uldə	ullə	uldə	uldə	ulle	ulə	ulə
arm_hand_1	majən	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
arm_hand_2	nala	ŋaːla	ŋala	ŋaːla	ŋala	nana	ŋaːla	ŋaːla	gala	gala	gal	ŋaːl	naːl	naːla	ŋaːlə	ŋalə	ŋaːla	ŋale	ŋala	ŋaːla
fly_1	dʒinkun	?	?	dʒiluəktə	dʒiləkun	diluktə	dʒiːluwə	?	dərhuə	dərhuwə	durvo	diliken	?	?	?	?	?	?	dirkoːn	dilkəːtsəːn
fly_2	?	giluwə	?	?	?	giluktə	?	giːluqtu	?	?	?	?	gilhoŋ	?	gilkə	?	?	?	?	?
fly_3	?	?	gobʔo	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
fly_4	?	?	?	?	?	?	?	?	?	?	?	?	?	ujmikəːktə	?	?	?	?	?	?
night_1	dolbu	dobbo	dogbo	dolbo	dolbo	dolbo	dolboni	dolbo	dobori	dobon	dœviri	dolba	dɔlbɔn	dolbo	dolboniː	dolbomi	dolbo	dolboni	dolbon	dɔlbɔ
ear_1	tsian	sæː	?	sean	san	sæː	seːn	seː	ʃan	ʃan	san	?	ʃeːŋ	siːn	seːn	heːn	heːn	sen	seːn	ʃeːn
ear_2	?	?	kuʔai	?	?	?	?	?	?	?	?	korat	?	?	?	?	?	?	?	?
neck_1	məifən	moŋo	mœ	moŋon	moŋon	moŋo	moŋo	moŋgo	?	məifən	mivin	?	?	?	?	?	moŋoːn	moŋon	moŋon	?
neck_2	?	?	?	?	?	?	?	?	?	?	bilha	?	?	?	?	?	?	?	?	?
neck_3	?	?	?	?	?	?	?	?	?	?	?	ɲikan	niham	nikinma	nikimna	ɲikimɲa	?	?	?	nekemna
far_1	?	?	?	?	?	?	?	?	?	?	?	tege	?	?	?	?	?	?	?	?
far_2	goro	goː	goː	goro	goro	goro	goro	goro	goro	goro	ɢoro	gor	gɔrɔ	goro	goro	goroloː	goroloː	gorolo	gojo	gɔrɔ
do_make_1	ou	oː	oː	?	?	o	?	?	?	?	?	oː	ɔː	oː	oː	o	oː	ode	oː	ɔː
do_make_2	?	?	?	ta	ta	?	to	ta	?	?	?	?	?	?	?	?	?	?	?	?
do_make_3	?	?	?	aŋo	aŋgo	aŋgo	andu	andʒo	?	?	?	?	?	?	?	?	?	?	?	?
do_make_4	?	?	?	?	?	?	?	?	ara	ara	arə	?	?	?	?	?	?	?	?	?
house_1	dʒo	dʒuːg	dʒugdi	dʒoː	dʒoː	dzoː	duhu	dʒoː	?	?	?	dʒuː	dʒu	dzuːg	dʒuː	dʒuktsaː	dʒuː	dʊ	dʒoː	dʒuː
house_2	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	guːlə	?	?	?
house_3	?	?	?	?	?	?	?	?	bo	boː	bo	?	?	?	?	?	?	?	?	?
stone_rock_1	?	?	?	?	?	?	?	?	uhə	wəhə	vəxə	?	?	?	?	ihə	iːha	?	?	?
stone_rock_2	dʒolo	dʒolo	dʒolo	dʒolo	dʒolo	dzolo	dʒolo	dʒolo	?	?	?	dʒol	dʒɔl	dzolo	dʒolo	?	?	djɵlo	dʒolo	dʒɔlɔ
bitter_1	gotsikuli	gotisi	guaci	gotseseː	gotisi	gotsisi	gotstsuːli	gotole	goʃo	gosihon	ɢoshun	got	guʃedde	?	gətsiptsu	?	?	?	gotigdi	guteː
say_1	həsu	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
say_2	?	gun	gunə	un	unə	un	un	wən	xəndu	həndu	?	goːn	gun	?	guːn	gun	guːn	gun	guːn	geŋna
say_3	?	?	?	?	?	?	?	?	?	sə	si	?	?	?	?	?	?	?	?	?
say_4	?	?	?	?	?	?	?	?	?	?	?	?	?	cuːgibor	?	?	?	?	?	?
tooth_1	iktələ	iktə	iktə	huktə	iktəl	huktələ	iktə	iqtə	wəihə	wəihə	vix	iːt	iːtt	iːktə	iktə	iktə	iktə	ikte	iktə	iktə
hair_1	?	?	?	?	?	?	?	?	funhə	funijəhə	fənjx	?	?	?	?	?	?	?	?	?
hair_2	nʉktə	ɲuktə	ɲuktə	nuktə	niruktə	nuktə	niruktə	nuqtə	?	?	?	ɲuːrit	nuːtt	nuːriktə	ɲuriktə	ɲuriktə	ɲuːriktə	nʊriktel	ɲijuktə	ɲuriktə
big_1	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	khu
big_2	?	?	?	daːi	?	daːi	daːji	daːe	?	?	?	?	?	?	?	?	?	?	?	?
big_3	?	?	?	?	kəːtə	?	?	?	?	?	?	?	?	?	?	kətə	kəte	?	?	?
big_4	?	?	?	?	?	?	?	?	amba	amba	ambu	?	bɔŋgɔŋ	?	?	?	?	?	?	?
big_5	?	?	?	?	?	?	?	?	?	?	?	egdʒen	əddəgu	həgdəgə	həgdj	həgdiː	həːgdə	hegdu	əgdiŋoː	əgdəŋə
big_6	sagdi	saːgdi	sagdi	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?
big_7	?	?	?	?	?	?	?	?	?	?	?	tsele	?	?	?	?	?	?	?	?
one_1	əmkən	omo	omo	əm	əmun	əm	?	omo	əmu	əmu	əmkən	omen	əmuŋ	umun	umuːn	umukoːn	umukoːn	umuken	omun	umun
one_2	?	?	?	?	?	?	geːda	?	?	?	?	?	?	?	?	?	?	?	?	?
who_1	ni	ɲi	niː	uj	niː	ui	ŋui	ŋuj	?	?	?	ɲiː	?	niː	ŋiː	niː	ŋiː	ŋi	niː	niː
who_2	?	?	?	?	?	?	?	?	?	wə	və	?	awu	?	?	?	?	?	?	?
3SG_1	?	?	?	?	?	?	?	?	?	?	?	?	tari	?	?	?	?	?	?	?
