#id	Meaning	bara1273	cuma1241	nort2686	oldu1238	sout2694	nort2697	bash1264	chuv1255	crim1257	dolg1241	gaga1249	kara1467	kara1465	kara1464	kaza1248	khak1248	khal1270	kirg1245	kumy1244	tuta1234	noga1249	sala1264	west2402	shor1247	kaza1250	tofa1248	nucl1301	turk1304	tuvi1240	uigh1240	uzbe1247	yaku1245	halh1238	buri1258	kalm1244	kalm1243	kham1281	daur1238	east2337	baoa1237	dong1285	minh1238	huzh1238	kang1281	mogh1245	midd1351	nana1257	oroc1248	udih1248	cent2414	kuro1242	biki1239	orok1265	ulch1241	jurc1239	manc1252	xibe1242	even1260	solo1263	even1259	hiss1234	sout3321	ilim1234	ilim1234.2	negi1245	oroq1238	hwan1238	hamg1238	hamg1239	jeju1234	chol1278	kyon1247	chun1247	seou1239	midd1372	nucl1643	oldj1239	nort2935	nort2935.2	sout2954	cent2126	shur1243	ikem1234	yaey1239	hato1238	yona1241	sats1241	kuma1281	haka1241	hach1239
	fire (n.)																																																																														μacï	ɂmatsɨ	maci			umacï							
	fire (n.)																																																																			pwul	pwul	pwul	pwul	pwul	pwul	pwul	pwul	pwul	hi					πii	hwii		pïï	pii	ccìi	hi	hiː	hi	hi
	fire (n.)																																															to	toː	toː	tawa	toː	tao	tawa	tawa	ta	tuwa	tua	tọg	tͻg	togo	towo	toγo	togo	togo	togo	tɔgɔ																								
	fire (n.)																																	gal	gal	gal	hal	gal	gali	gal	xal	qan	ghar	ghal	χar	ɣo:l	qal																																												
	fire (n.)	ot	ot	ot	ot	ot	od	ut	vut		uot		ot	ot	ot	ot	ot	hu:ot	ot	ot	ot	ot	ot	ot	ot	ut	ot		o:t	ot	ot		uot																																																										
	fire (n.)									atešbor		atešbor																atešbor																																																															
	fire (n.)																															ɔlɔvbor																																																											
	nose (n.)																																																																												hana	pana	hana	hanaa	pana	panaa	hana	pana	hana	pana	hánaburu	hana	hana	hana	hana
	nose (n.)																																																																			kho	kho	kho	kho	kho	kho	kho	kho	kho															
	nose (n.)																																																					hurigan																																					
	nose (n.)																																																ŋikso	ŋö					waksa					niːnša																															
	nose (n.)																																																							suŋgi																																			
	nose (n.)																																																										ọŋat		oŋokto	oŋokto	oŋoktɒ	oŋokto	oňokto	oŋokto	ɔŋɔktɔ																								
	nose (n.)																																															ofurə			oporo	oforo	oforo				oforo	ovur																																	
	nose (n.)																																	xamar	xamar	xamr	xamar	kamar	hamara	xawar	xawar	qawa	khaber	hawari	χuar	qabar	qabar																																												
	nose (n.)																							ḳaŋrïḳ			haay			χaay																																																													
	nose (n.)	morïn	burun	burun	burun		burun			burun	munnu	burnu	murïn	burun	burun	murïn	purun	burïn	murun	burun	purun	burïn	purnï		purnu	borïn		burun	burun		burun	burun	murun																																																										
	nose (n.)					tumčuḳ																								dumčuḳ																																																													
	nose (n.)							tanawbor																																																																																			
	nose (n.)								səʷmzabor																																																																																		
	go (v.)																																																																			ka	ka	ka	ka	ka	ka	ka	ka	ka	ik	yuk	ɂixjuri	ɂikjuɴ	ikjuɴ	hicuɴ	ɂicuɴ	ifu	ikuɴ			iʔ	iku	iku	iku
	go (v.)																																															ənə	ŋənə	ŋənə	ənə	ənə	ənə	ŋənə	ŋənə	gəniə	gənə	gənə	ŋen	nənə	nənə	gənə	ŋənə	ŋənə	ňènè	ŋənə	ŋənə																								
	go (v.)																																						iči		ʥi	ətʂɯ	ɕi	ɕdʑə	ʤi																																														
	go (v.)																																				od				ɵd						ot																																												
	go (v.)																																	yav	yaba	yov	yov	yabu	yaw	yawə			yao			yobu	yabu																																												
	go (v.)	bar	bar	par	bar	bar		bar	pïr	bar	bar		bar	bar	bar	bar	par	var	bar	bar	par	bar	bar	par	par	bar	bar		bar	bar	bar	bɔr	bar																																																				paruɴ	paruɴ	hìrun				
	go (v.)	yör																	ǰürü											čoru		yur																																																											
	go (v.)						ǵet	kit		ket		git	ket		ket	ket												git	git																																																														
	water (n.)																																																	uli																											mizu	mi	mïzï	mɨzɨɨ	mizi	mizii	mizi	mizï	mizï	mizi	mín	miʔ	mizu̥	midzu	midzu
	water (n.)																																															mukə	muː		muə	mukə	mukə	mọː	muː	mukə	mukə	muku	mo	mu	muː	muː	muː	muː	mu	muː	muː	mwul	mwul	mwul	mwul	mwul	mwul	mwul	mwul	mul															
	water (n.)																																	us	uhan	usn	usn	ohu	oso	qusun	sə	usu	sdzu	ʂʣu	su	usun	usun																																												
	water (n.)	su	su	suɣ	suv	suu	su	hïw	šïv	suw	uu	su	suw	suw	suv	su	suɣ	suw	suu	suw	suɣ	suw	su	su	suɣ	su	suɣ	su	suw	suɣ	su	suv	uu																																																										
	mouth (n.)																																																																												kuti	kuti	kuci	kucɨɨ	kuci	kucii	kuci	fucï	ɸucï	huci	ttíi	kuɂ	kutɕi̥̥	ku̥tɕi	ku̥tɕi
	mouth (n.)																																																																			ip	ip	ip	ip	ip	ip	ip	ip	ip															
	mouth (n.)																																	am	aman	amn	aman	aman	ama	aman	amaŋ	aman	ama	ama	amɔ	aman	aman	amŋə	amma	aŋma	aŋma	amŋa	amga	aŋma	aŋma	aŋga	aŋga	aŋ	amŋa	amma	amŋa	amŋa	amŋa	amŋa	amňa	amŋa	amŋa																								
	mouth (n.)	awïs	agis	aɣïs	aɣïz	oos	aɣïz	awïδ		aɣïz		a:z	awïz	awuz	avuz	awïz	aas	a:ɣïz	ooz	awuz	a:ɣəs	awïz	aɣïz	aɣïs	aḳsï	awïz	aas	aɣïz	aɣïz	aas	eɣiz	ɔɣiz																																																											
	mouth (n.)										ańak																						aỹaχ																																																										
	mouth (n.)								śəʷvar																																																																																		
	tongue (n.)																																																																												sita	sita			sicja			sïta	sïta	sita	ttàa	ɕi̥ta	ɕi̥ta	ɕi̥ta	ɕi̥ta
	tongue (n.)																																																																														sïba	sɨbaa		subaa	siba								
	tongue (n.)																																															iləŋgu	iŋi	iŋi	siŋmu	iləŋgu	sirmə	sinu	sińu	iləŋgi	iləŋgu	iliŋ	ienŋe	iŋi	inni	inni				ińńi	iŋŋi	sey	sey	sey	seyppatak	seyppatak	sey	seppatak	seppatak	hye															
	tongue (n.)																																																														čoliː	soːliː	čoli																										
	tongue (n.)																																	xel	xelen	keln	kelen	kələn	keli	kelen	kelaŋ	kiəliən	kelie	kəle	kiliɔ	kelȧn	kelen																																												
	tongue (n.)	til	til	til	tïl	til	dil	tel	čɘlɣe	til	tïl	dil	til	til	til	tĭl	tɘl	til	til	til	tɘl	til	cil	tel	til	tel	dïl	dil	dil	dïl	til	til	tïl																																																										
	blood (n.)																																																																			phi	phi	phi	phi	phi	phi	phi	phi	phi															
	blood (n.)																																															səksə	səːksə	sakä	səːksə	səksə	səːksə	səːksə	səːksə	šəŋgi	səŋgi	siŋ		šəːšši	səːksə	səːksə	hoxsə	hoːkśə	sèksè	sọːksə	šəːkšə																								
	blood (n.)																																																										huŋel																																
	blood (n.)																																	cus	šuhan	cusn	cusan	čihun	čos	ʧusun	ʨisɵŋ	tʂusun	tʂudzi	tɕisə	tʃisun	čusun	čisun																														ti	ti	ci	cɨɨ	cii	cii	cii	ahacï	cïï	sii	ccíi	tɕiː	tɕiː	tɕi	tɕi
	blood (n.)	ḳan	kan	ḳan	ḳan	ḳan	ġan	ḳan	yun	ḳan	kaan	kan	ḳan	ḳan	kan	ḳan	χan	ḳa:n	ḳan	ḳan	ḳan	ḳan	ḳan	ḳan	ḳan	ḳan	ḳan	kan	ġa:n	χan	ḳan	ḳɔn	χa:n																																																										
	bone (n.)																																																																			ppey	ppey	ppey	kkwang	ppitakwu	ppeyktakwu	ppey	ppey	spye	hone	pone	hunï	huunɨ	puni	puni	huni	puni	puni	puni	hûni	hone	hone	hone	hone
	bone (n.)																																															giamsə	giamsa	gäma	germaksa	gịramna	gịrmasa	girapsa	geramsa	giraŋgi	giraŋgi	giraŋ		girand	giramda	geramda	giramda	giramda	giramna		geramna																								
	bone (n.)																																																										ikeri							iːhəj																									
